week,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,sum_mail,sum_BO,sum_task,sum_task_bad,acc_overall
2018-08-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.0,114,0,26,1,0,0,0,0,1,0,0,0,0,0,0,0,142,0,1.0,0,0,0,0,0,0,0,0,0,147,0,1.0
2018-08-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,15,0,0,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.0,105,0,16,1,0,0,0,0,4,0,0,0,0,2,0,0,126,2,0.984126984127,6,0,26,32,1,0,1,0,0,184,2,0.989130434783
2018-08-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.0,15,0,8,1,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,28,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1.0,18,0,7,25,0,0,0,0,0,99,0,1.0
2018-08-27 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,25,1,22,2,0,0,50,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.0,11,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1.0,33,0,126,159,0,1,1,0,9,236,1,0.995762711864
2018-09-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,8,3,1,2,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1.0,36,0,0,36,0,0,0,0,0,67,0,1.0
2018-09-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1.0,45,0,10,55,0,0,0,0,0,73,0,1.0
2018-09-17 00:00:00,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.0,36,0,27,63,3,1,4,0,4,84,1,0.988095238095
2018-09-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,36,4,0,16,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,1.0,34,0,10,44,0,0,0,0,0,123,0,1.0
2018-10-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,9,24,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,83,0,0,83,0,0,0,0,0,116,0,1.0
2018-10-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-10-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-10-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-10-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-11-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-11-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-11-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-11-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-12-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-12-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-12-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
