week,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,sum_BO_Parser,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,sum_mail,sum_BO,sum_task,sum_task_bad,acc_overall
2018-11-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,36,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,1.0,44,4,5,0,0,0,53,62,2,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1.0,2,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,12,0,1.0,48,0,36,84,0,0,0,0,0,312,0,1.0
2018-11-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,38,4,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,1,0.981481481481,6,4,4,0,0,0,14,19,2,11,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,36,1,0.972222222222,5,0,17,6,0,0,0,0,0,0,0,0,1,0,0,0,29,0,1.0,51,0,1,52,0,0,0,0,0,185,2,0.989189189189
2018-11-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,169,2,26,13,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,1.0,6,0,0,0,0,0,6,7,0,6,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,1,0.96,51,0,17,5,0,0,0,0,7,0,0,0,0,0,0,0,80,0,1.0,8,0,0,8,0,0,0,0,0,342,1,0.997076023392
2018-12-03 00:00:00,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,53,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,1.0,2,0,0,0,0,0,2,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,1,0.961538461538,55,0,38,8,0,0,0,0,11,0,0,0,0,1,0,0,112,1,0.991071428571,13,0,0,13,0,0,0,0,4,229,2,0.991266375546
2018-12-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,42,4,24,6,1,2,0,0,13,0,118,0,0,0,0,0,0,0,0,0,0,0,0,210,0,1.0,1,0,0,0,0,0,1,14,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1.0,128,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,162,0,1.0,4,0,0,4,0,0,0,0,0,408,0,1.0
2018-12-17 00:00:00,25,0,5,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,32,2,278,0.9375,98,0,21,13,2,29,0,0,2,0,35,0,1,2,0,0,0,0,0,0,0,0,0,201,2,0.990049751244,0,0,0,0,0,0,0,2,0,21,0,0,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,35,1,0.971428571429,56,0,9,3,0,0,0,0,4,0,0,0,0,0,0,0,72,0,1.0,0,0,0,0,3,3,6,0,309,346,5,0.985549132948
2018-12-24 00:00:00,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1.0,14,0,4,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1.0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1.0,0,0,44,8,0,0,0,0,1,0,0,0,0,0,0,0,53,0,1.0,49,0,2,51,1,1,2,0,8,162,0,1.0
2018-12-31 00:00:00,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1.0,13,0,1,3,0,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1.0,0,0,2,2,0,0,4,1,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.0,37,0,4,4,0,0,0,0,17,0,0,0,0,0,0,0,62,0,1.0,151,0,0,151,1,2,3,0,9,266,0,1.0
2019-01-07 00:00:00,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,2,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1.0,7,0,1,0,0,0,8,11,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1.0,107,0,12,10,0,0,0,0,2,0,0,0,0,0,0,0,131,0,1.0,21,0,0,21,5,1,6,0,4,220,0,1.0
2019-01-14 00:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,10,0,7,4,0,0,0,0,10,0,115,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1.0,0,0,1,0,0,0,1,10,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1.0,33,0,25,10,0,0,0,0,17,0,0,0,0,0,0,0,85,0,1.0,3,0,0,3,3,0,3,0,1,261,0,1.0
2019-01-21 00:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,23,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1.0,2,0,0,0,0,0,2,43,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1.0,57,0,8,12,0,0,0,0,1,0,0,0,0,0,0,0,78,0,1.0,2,0,0,2,3,0,3,0,1,190,0,1.0
2019-01-28 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,77,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,108,0,1.0,6,0,0,0,0,0,6,33,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1.0,39,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,46,0,1.0,61,0,0,61,4,0,4,0,1,263,0,1.0
2019-02-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,9,0,3,2,0,0,0,0,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,19,4,0.789473684211,7,0,0,12,0,0,19,38,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1.0,31,0,3,8,0,0,0,0,3,0,0,0,0,0,0,0,45,0,1.0,13,0,0,13,0,0,0,0,0,143,4,0.972027972028
2019-02-11 00:00:00,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1.0,12,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1.0,14,0,0,0,0,0,14,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1.0,59,0,1,10,0,0,0,0,11,0,0,0,0,0,0,0,81,0,1.0,38,0,0,38,1,1,2,0,17,246,0,1.0
2019-02-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,35,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1.0,11,2,0,0,0,0,13,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1.0,21,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,30,0,1.0,4,0,0,4,2,0,2,0,0,139,0,1.0
2019-02-25 00:00:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,195,0.5,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1.0,0,0,0,2,0,0,2,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1.0,137,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,162,0,1.0,0,0,0,0,1,1,2,0,196,244,1,0.995901639344
2019-03-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1.0,8,0,0,0,0,0,8,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1.0,74,0,1,4,0,0,0,0,21,0,0,0,0,0,0,0,100,0,1.0,29,0,0,29,0,0,0,0,0,195,0,1.0
2019-03-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1.0,23,11,0,1,0,0,35,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.0,67,0,3,16,0,0,0,0,5,0,0,0,0,0,0,0,91,0,1.0,1,0,0,1,0,0,0,0,0,162,0,1.0
2019-03-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
